tweet_id,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
672984142909456390,1183,507,8942723,18,Twitter for iPhone,Original tweet,https://t.co/81BCQAyvcs
672980819271634944,1704,936,8942723,18,Twitter for iPhone,Original tweet,https://t.co/ufHWUFA9Pu
672975131468300288,1567,831,8942723,18,Twitter for iPhone,Original tweet,https://t.co/ZlcF0TIRW1
672970152493887488,882,329,8942723,18,Twitter for iPhone,Original tweet,https://t.co/eb4ta0xtnd
672968025906282496,1242,498,8942723,18,Twitter for iPhone,Original tweet,https://t.co/7CbO2eMAgJ
672964561327235073,1329,594,8942723,18,Twitter for iPhone,Original tweet,https://t.co/1ui7a1ZLTT
672902681409806336,1281,460,8942723,18,Twitter for iPhone,Original tweet,https://t.co/KpLyca3o3E
672898206762672129,848,391,8942723,18,Twitter for iPhone,Original tweet,https://t.co/i4XJEWwdsp
672884426393653248,1441,782,8942723,18,Twitter for iPhone,Original tweet,https://t.co/g5YkRqP0dg
672877615439593473,964,327,8942723,18,Twitter for iPhone,Original tweet,https://t.co/dJHI7uC2y3
672834301050937345,1227,529,8942723,18,Twitter for iPhone,Original tweet,https://t.co/BIljU0zhLN
672828477930868736,1167,454,8942723,18,Twitter for iPhone,Original tweet,https://t.co/fvxHL6cRRs
672640509974827008,919,292,8942723,18,Twitter for iPhone,Original tweet,https://t.co/uNrmYDUa9M
672622327801233409,1206,448,8942723,18,Twitter for iPhone,Original tweet,https://t.co/Cv7dRdcMvQ
672614745925664768,1142,540,8942723,18,Twitter for iPhone,Original tweet,https://t.co/ntxsR98f3U
672609152938721280,1033,359,8942723,18,Twitter for iPhone,Original tweet,https://t.co/YAVwvNaois
672604026190569472,1028,366,8942723,18,Twitter for iPhone,Original tweet,https://t.co/xHXNaPAYRe
672594978741354496,1243,569,8942723,18,Twitter for iPhone,Original tweet,https://t.co/jyXbZ35MYz
672591762242805761,892,307,8942723,18,Twitter for iPhone,Original tweet,https://t.co/bWQ0iIcP0w
672591271085670400,674,174,8942723,18,Twitter for iPhone,Original tweet,https://t.co/Pa8EmpDCuI
672538107540070400,952,337,8942723,18,Twitter for iPhone,Original tweet,https://t.co/rSndxTL0Ap
672523490734551040,586,152,8942723,18,Twitter for iPhone,Original tweet,https://t.co/EH0N3dFKUi
